ACode,Desc
10, Food products
11, Beverages
12, Tobacco products
13, Textiles
14, Wearing apparel
15, Leather and related products
16, Wood/wood products/cork, excluding furniture
17, Paper and paper products
18, Printing and reproduction of recorded media
19, Coke and refined petroleum products
20, Chemicals and chemical products
21, Pharmaceuticals, medicinal chemicals, etc.
22, Rubber and plastics products
23, Other non-metallic mineral products
24, Basic metals
25, Fabricated metal products, except machinery
26, Computer, electronic and optical products
27, Electrical equipment
28, Machinery and equipment n.e.c.
29, Motor vehicles, trailers and semi-trailers
30, Other transport equipment
31, Furniture
32, Other manufacturing
33, Repair and installation of machinery/equipment
C, Total manufacturing
